Sr_No,visit_date,Company_Name,Month,Company_logo,Company_website
28,21-08-2022,Ion,August,https://media.licdn.com/dms/image/D4E0BAQEjbQh8bhprzQ/company-logo_400_400/0/1688143373411/iongroup_logo?e=2147483647&v=beta&t=AL7KlnFbYc34T9XQfaTcs222L8BQu4f5bpG2Ru9MyRs,https://iongroup.com/
29,23-08-2022,IDeaS,August,https://media.licdn.com/dms/image/D4D16AQG2UQarms5CIw/profile-displaybackgroundimage-shrink_200_800/0/1678350980888?e=2147483647&v=beta&t=hrJEsRN_B5PjPr0cLrQP4O1ky-ItUmesW9XYTudJ-bE,https://ideas.com/
30,30-08-2022,Toshiba,August,https://www.shutterstock.com/image-photo/hannover-germany-march-2017-logo-260nw-611667251.jpg,https://www.global.toshiba/ww/top.html
31,09-09-2022,HSBC,September,https://www.hsbc.com/-/files/hsbc/media/media-gallery/low-res-images/180502-hsbc-logo-london-1-1600x900.jpg,https://www.hsbc.com/
32,08-09-2022,Incubyte,September,https://mir-s3-cdn-cf.behance.net/projects/404/cee418120143573.Y3JvcCw0MDkxLDMyMDAsODcwLDA.png,https://www.incubyte.co/
33,08-09-2022,Ugam,September,https://media.licdn.com/dms/image/C4D22AQHwN8iA_Qc9lw/feedshare-shrink_800/0/1648547016279?e=2147483647&v=beta&t=MuFHnhmH2efCKSeuAF6yQTZVmG2VvOAAcDhPfaCoeRg,https://www.merkle.com/
34,13-09-2022,Elastic Run,September,https://entrackr.com/storage/2022/02/Elasticrun.jpg,https://www.elastic.run/
35,14-10-2022,Trading Technologies,October,https://www.techiexpert.com/wp-content/uploads/2020/09/Trading-technologies.jpg,https://www.tradingtechnologies.com/
36,14-10-2022,Credit Suisse,October,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/Z7VCVZB77JK3HGNX7575QGNG6M.jpg,https://www.credit-suisse.com/us/en.html
37,05-09-2022,Aspect Ratio,September,https://media.licdn.com/dms/image/C4D0BAQHH9-Utj97KQA/company-logo_200_200/0/1639393243157/aspectratio_logo?e=2147483647&v=beta&t=zjnuHwDiHfM-55Y2C5w9ZjYoLvhXtGR4jDmUyDBktp4,https://www.aspectratioai.com/
38,02-09-2022,RIA Advisory LLP,September,https://media.licdn.com/dms/image/C4E0BAQGcTyYaNuypqw/company-logo_200_200/0/1630584110885/riaadvisory_logo?e=2147483647&v=beta&t=swEcGeWBVcASH_X7i7IWgbcqO_djVAZ0yW8HWwCw8ZE,https://riaadvisory.com/
39,26-08-2022,Lowe's India,August,https://mir-s3-cdn-cf.behance.net/projects/404/7bcb57177658971.Y3JvcCwxMDQwLDgxNCwxNzUsMTQx.jpg,https://lowes.co.in/
40,05-09-2022,Principal Global Services,September,https://media.licdn.com/dms/image/C4E22AQHqpAej6fw8-g/feedshare-shrink_2048_1536/0/1675408801061?e=2147483647&v=beta&t=UaAgZ0zOnvRQBCBkBaJhisgyfa62hMNzAyJzp8aqPEM,https://www.principal.com/about-us/careers
43,05-09-2022,Schlumberger,September,https://www.thestreet.com/.image/t_share/MTY4NjM4MDk0MTI3NjcxMTkx/schlumbergers-pullback-could-lead-to-a-rebound-charts.jpg,https://www.slb.com/
44,13-09-2022,ACI Worldwide,September,https://thumbs.dreamstime.com/b/january-brazil-photo-illustration-aci-worldwide-logo-displayed-smartphone-screen-304126748.jpg,https://www.aciworldwide.com/
46,17-09-2022,CLSA,September,"https://images.crunchbase.com/image/upload/c_pad,f_auto,q_auto:eco,dpr_1/n7ssd2r6dn7uyof0azzi",https://www.clsa.com/
47,21-09-2022,Source.One,September,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUdSj1iYobXZNXcgiVyi3U_fclh3IpjALHvKgx_H7uUg&s,http://source.one
48,09-10-2022,Quantiphi Analytics,October,https://cdn.quantiphi.com/2024/02/Video-thumbnail-hero-banner.webp,https://quantiphi.com/
49,15-09-2022,e2open,September,https://images.g2crowd.com/uploads/product/image/social_landscape/social_landscape_19232f0aa033c52de70b564e9cdbccfa/e2open-supply-application-suite.png,https://www.e2open.com/
50,19-09-2022,Searce,September,"https://cdn.domestika.org/c_fit,dpr_auto,f_auto,q_80,t_base_params,w_820/v1646402915/content-items/010/751/600/CS-03-original.png?1646402915",https://www.searce.com/
51,27-09-2022,NICE Inc.,September,https://companies.naukri.com/nice-careers/wp-content/uploads/sites/3850/2015/08/logo-nice.png,https://www.nice.com/
52,28-09-2022,Amdocs,September,https://www.fintechfutures.com/files/2023/07/Amdocs.jpg,https://www.amdocs.com/
53,29-09-2022,Arista Networks,September,https://www.stackscale.com/wp-content/uploads/2018/12/Arista-Networks-Stackscale.jpg,https://www.arista.com/en/
54,29-09-2022,Energy Exemplar,September,https://cc.sj-cdn.net/instructor/wwkonr2y1bid-energy-exemplar-xpert/courses/73k7s162cym1/promo-image.1597336515.jpg,https://www.energyexemplar.com/
55,13-10-2022,Wissen Technology,October,https://www.greatplacetowork.in/great/api//assets/uploads/3426/logo/logo.png,https://www.wissen.com/
56,18-10-2022,EXL,October,https://www.marketbeat.com/logos/exlservice-holdings-inc-logo-1200x675.png?v=20240215143622,https://www.exlservice.com/
57,30-09-2022,Oracle,September,https://www.shutterstock.com/shutterstock/videos/1008063895/thumb/1.jpg?ip=x480,https://www.oracle.com/in/
58,17-10-2022,Visteon,October,https://www.marketbeat.com/logos/visteon-co-logo-1200x675.png,https://www.visteon.com/
59,02-11-2022,Berkadia,November,https://asset.brandfetch.io/idAaHq5XRL/idJpOVafHs.jpeg,https://berkadia.com/
60,18-10-2022,Datametica,October,https://indidesign.in/wp-content/uploads/2019/07/1.jpg,https://www.datametica.com
61,27-10-2022,Infogen Labs,October,https://i.pinimg.com/550x/c9/2b/09/c92b09d336a0fb0c90bb3c2eaac2f6cf.jpg,http://corp.infogen-labs.com/
62,27-10-2022,Persistant,October,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrgx6vp7mu90rXVUnKE-11MmVQ4PrU_VizpqQm6gV9Zg&s,https://www.persistent.com/
63,19-10-2022,Cloudlex,October,https://image.pitchbook.com/t7DiZg7VcV2YSFZcqI1M2MFODDn1676001168889_200x200,https://www.cloudlex.com/
64,20-10-2022,HDFC Bank,October,https://images.livemint.com/img/2021/06/13/600x338/HDFC_1603903441816_1623558008776.jpg,https://www.hdfcbank.com/
65,28-10-2022,Promobi Technology,October,https://media.licdn.com/dms/image/D4D0BAQHQ81r7ZWSQSQ/company-logo_200_200/0/1712572435141/promobi_technologies_pvt_ltd__logo?e=2147483647&v=beta&t=M-DP80eihl3l5fxEGWysM4lk_9hRP6h3rFNAq18gd4o,https://promobitech.com/
66,02-12-2022,TCS R&I,December,https://c.ndtvimg.com/2018-11/k1bmo25g_tcs-bloomberg_625x300_05_November_18.jpg,https://www.tcs.com/careers/india/research-and-innovation
67,06-12-2022,RBL Bank,December,https://www.biznextindia.com/wp-content/uploads/2021/09/RBL-Bank.png,https://www.rblbank.com/
68,21-11-2022,Media.net,November,https://cdn.dribbble.com/users/6032/screenshots/350229/media/c5fc471beba34f81fbb03d9221cb9590.png?resize=400x300&vertical=center,https://www.media.net/
69,26-11-2022,Fold Health,November,https://media.licdn.com/dms/image/C5605AQGxaPR_vcB-Yg/feedshare-thumbnail_720_1280/0/1657648442086?e=2147483647&v=beta&t=pc0Hg2T36aMr5l3hSRoJMWXwepQduBauWtMWm6J6ehI,https://www.fold.health/
70,27-11-2022,Launch Ventures,November,https://media.licdn.com/dms/image/D4D0BAQEY1LjbWgN-MQ/company-logo_200_200/0/1710747066468?e=2147483647&v=beta&t=BA0GVLPoLNPOccrfmSL2vSjQllm56eeVPp1Z6oz9VgY,https://www.launchventures.co/
71,30-11-2022,Deloitte India,November,https://images.fnlondon.com/im-939570/?width=700&height=466,https://www2.deloitte.com/in/en.html
72,08-12-2022,Imagination Technologies,December,https://pbs.twimg.com/ext_tw_video_thumb/1778697366402449408/pu/img/KpXFXudDrMZNwjCy.jpg,https://www.imaginationtech.com/
73,16-12-2022,Dragonfly Financial Technologies,December,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-J1gmtLy9p6AGJVyuh6NnIbG4LIoy6Yd_VuV1Ileffg&s,https://www.dragonflyft.com/
74,21-12-2022,Findability Sciences,December,https://pbs.twimg.com/media/FbepFxnUEAAyB29.jpg:large,https://www.findability.ai/
75,23-12-2022,Miko,December,https://yt3.googleusercontent.com/4K73xatAZkN6SebLeCuHdrkNct4av72zKmfFLjz6_PvY1J1hhNp1_yTEp2AC9yZw7euCx6r0=s900-c-k-c0x00ffffff-no-rj,https://miko.ai/
76,22-12-2022,Dataeaze,December,https://media.licdn.com/dms/image/sync/D4D27AQENIF-wzJRbzg/articleshare-shrink_800/0/1711114123908?e=2147483647&v=beta&t=ZSB320DjpjEMuOHx9_cP2zDQT1yilIahQviCqYURJ1E,https://www.dataeaze.io/
77,18-01-2023,AGCO,January,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgCU2XwN3eMLPPoAI3ej1li5zo73nOLYnMSJ0lBPSddQ&s,https://www.agcocorp.com/
78,13-01-2023,Sell.Do (Beyondwalls),January,https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2JleW9uZC13YWxscy5qcGc.webp,https://www.beyondwalls.com/
79,19-01-2023,Emerson,January,https://image.shutterstock.com/image-photo/image-260nw-2279162653.jpg,https://www.emerson.com/en-us/global
80,17-01-2023,Flextrade,January,https://s44885.pcdn.co/wp-content/uploads/2023/11/FlexTrade-Systems.png,https://flextrade.com/
81,30-01-2023,Nihilent,January,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzp8n8ChWO4jFv3S7SeL9zOuREU2RifPqf50y-0lqorQ&s,https://www.nihilent.com/
82,24-01-2023,Cutshort,January,https://media.swipepages.com/2022/2/5fc74a03d081bb0010a483bb/cutshort_rgb_logo_colored-750.png,https://cutshort.io/hire-top-developers?device=c&network=g&utm_term=cutshort&utm_campaign=DR_Search_Brand_India_New_May2023&utm_source=google&utm_medium=cpc&hsa_acc=7833236619&hsa_cam=20026529712&hsa_grp=148249488173&hsa_ad=656198290743&hsa_src=g&hsa_tgt=kwd-498064062383&hsa_kw=cutshort&hsa_mt=e&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=CjwKCAjwz42xBhB9EiwA48pT7zx17agiDwhMNV55oL88l4ahzMcLd0DhCz3KxOv6V3h-dSqmyFEhEBoCPlkQAvD_BwE
83,20-01-2023,Veras Retail,January,https://media.licdn.com/dms/image/C4D0BAQHAQ8uemjiLDw/company-logo_200_200/0/1631345301802?e=2147483647&v=beta&t=-iFZVR0CK8M8caCmJbzdvhYSHEW836Ebfr8NijmXFJE,https://www.verasretail.com/
84,27-01-2023,Bloomberg,January,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i5PGsA7G0NRA/v0/-1x-1.png,https://www.bloomberg.com/company/?utm_medium=LI&utm_source=Social-o&utm_campaign=678145&tactic=678145
85,07-02-2023,Facctum IT Solutions,February,https://www.xing.com/imagecache/public/scaled_original_image/eyJ1dWlkIjoiZWEwYWZmZDYtNjYwZC00MjFiLWIyZjEtMjhhMjFlMDhhYmNlIiwiYXBwX2NvbnRleHQiOiJlbnRpdHktcGFnZXMiLCJtYXhfd2lkdGgiOjMyMCwibWF4X2hlaWdodCI6MzIwfQ?signature=48a6f75bc6dd85935354998f676355e174c075bad2f13e0b7609d248124691bd,https://www.facctum.com/en/
86,21-02-2023,Zinrelo,February,https://loyalty360.org/getattachment/d47093d3-91c7-4d10-8149-19f4ef8baca5/image,https://www.zinrelo.com/
87,02-03-2023,e-Emphasys,March,https://i.ytimg.com/vi/mjm8Cog8ioc/maxresdefault.jpg,https://e-emphasys.com/
88,06-03-2023,ETraveli,March,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUlGTOIkk-Hx-SN6kzSrN45tOVBavufYttXQTvuf-2mA&s,https://www.etraveligroup.com/
89,20-02-2023,Metro GSC,February,https://attraxcdnprod1-freshed3dgayb7c3.z01.azurefd.net/1481132/29e03dc9-91cb-4b79-83f1-e6f9d42cbcc2/2023.17000.1876/img/33019791-5c5e-4634-af9d-08db821e87ab,https://www.metro-gsc.in/
90,21-02-2023,Suzlon,February,https://www.shutterstock.com/image-photo/aarhus-denmark-june-11-2016-260nw-436536427.jpg,https://www.suzlon.com/
91,13-03-2023,64 Squares,March,https://www.64-squares.com/wp-content/uploads/2023/03/cropped-logo.ai_.png,https://www.64-squares.com/
92,05-03-2023,Cadence,March,https://logos-world.net/wp-content/uploads/2022/06/Cadence-Emblem.png,https://www.cadence.com/en_US/home.html
93,14-05-2023,Avegen,May,https://assets-global.website-files.com/65098e8c64d2497d25e726f2/652948d03cc760beea0e42fc_Frame%201.webp,https://www.avegenhealth.com/
94,25-02-2023,Altometa,February,https://media.licdn.com/dms/image/D4D22AQExtp8RFP4PEA/feedshare-shrink_2048_1536/0/1687548749011?e=2147483647&v=beta&t=lhRAUxMriufnkpwy4LKWj-ny5ziTZ-suOQP9U8YiDfQ,https://altometa.online/
95,25-02-2023,UPTIQ,February,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGcTVWIVsdoIylbxuunklwvP5cmfVFe14rsU4_Ls049w&s,https://www.uptiq.ai/
96,25-02-2023,BBD,February,https://media.glassdoor.com/companyupdate/w900/671392/bbd-companyupdate-1663071717937.png?signature=e4f5f32e2f6bbc3c00f247877e39059811662f9a2b0408b5c03096f6fab2ba80,https://bbdsoftware.com/
97,25-02-2023,Ordway Labs,February,https://ordwaylabs.com/wp-content/uploads/2021/12/Ordway-Avatar-250px.png,https://ordwaylabs.com/
98,25-02-2023,Ayaan Autonomous,February,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqkZDND0Tthnp7hJ-FFNN-kuKBnARJtYJHhkeJkTH8Hg&s,http://ayaan.ai/
99,23-12-2022,TCS Digital,December,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDbnRrI77QEdXnNtyKvj7iTBQFN-4UMlm4sCqiPvT-FQ&s,https://www.tcs.com/what-we-do/services/consulting/solution/digital-lab-transformation-technology
